id_area,lat,lon,declividade,irradiacao,potencial_mw,custo_conexao,area_protegida
11319,-16.76974369374746,-42.54121592080854,3.3135483,3.8230256306252537,188.41399517973505,155051795.14396936,1
11320,-16.76974369374746,-42.491040793685144,2.941509,3.8230256306252537,188.41399517973505,157150418.5455253,1
11321,-16.76974369374746,-42.44086566656175,3.3858783,3.8230256306252537,188.41399517973505,159271488.93128383,1
11322,-16.76974369374746,-42.39069053943835,2.4513364,3.8230256306252537,188.41399517973505,161414062.9644598,1
11323,-16.76974369374746,-42.34051541231495,3.5333378,3.8230256306252537,188.41399517973505,163577240.64799565,1
11324,-16.76974369374746,-42.290340285191554,2.806422,3.8230256306252537,188.41399517973505,165760163.56149325,1
11325,-16.76974369374746,-42.24016515806816,2.860093,3.8230256306252537,188.41399517973505,167962013.11188006,1
11326,-16.76974369374746,-42.189990030944756,3.8546534,3.8230256306252537,188.41399517973505,170182008.80878097,1
11327,-16.76974369374746,-42.13981490382136,4.967853,3.8230256306252537,188.41399517973505,172419406.57347196,1
11328,-16.76974369374746,-42.089639776697965,3.7867303,3.8230256306252537,188.41399517973505,174673497.08846614,1
11329,-16.76974369374746,-42.03946464957457,2.180457,3.8230256306252537,188.41399517973505,176943604.19319823,1
11330,-16.76974369374746,-41.989289522451166,0.7820171,3.8230256306252537,188.41399517973505,179229083.3299329,1
11331,-16.76974369374746,-41.93911439532777,1.0130607,3.8230256306252537,188.41399517973505,181529320.0428641,0
11332,-16.76974369374746,-41.88893926820437,1.5673392,3.8230256306252537,188.41399517973505,183843728.53240702,1
11333,-16.76974369374746,-41.83876414108097,5.4497213,3.8230256306252537,188.41399517973505,186171750.26585537,1
11334,-16.76974369374746,-41.788589013957576,5.7863164,3.8230256306252537,188.41399517973505,188512852.64491317,1
11335,-16.76974369374746,-41.73841388683418,2.2723854,3.8230256306252537,188.41399517973505,190866527.7300306,0
11336,-16.76974369374746,-41.68823875971078,2.7573602,3.8230256306252537,188.41399517973505,193232291.02102986,0
11337,-16.76974369374746,-41.63806363258738,3.3289964,3.8230256306252537,188.41399517973505,195609680.29312637,1
11338,-16.76974369374746,-41.58788850546399,2.25174,3.8230256306252537,188.41399517973505,197998254.4871672,0
11339,-16.76974369374746,-41.537713378340584,4.349156,3.8230256306252537,188.41399517973505,200397592.65266666,1
11340,-16.76974369374746,-41.48753825121719,4.3982553,3.8230256306252537,188.41399517973505,202807292.94205558,1
11341,-16.76974369374746,-41.43736312409379,3.503812,3.8230256306252537,188.41399517973505,205226971.6544319,1
11342,-16.76974369374746,-41.3871879969704,3.3709106,3.8230256306252537,188.41399517973505,207656262.3270029,1
11343,-16.76974369374746,-41.337012869846994,3.0143661,3.8230256306252537,188.41399517973505,210094814.87236398,1
11344,-16.76974369374746,-41.2868377427236,2.8565009,3.8230256306252537,188.41399517973505,212542294.7597217,1
11345,-16.76974369374746,-41.236662615600196,3.7849798,3.8230256306252537,188.41399517973505,214998382.2381689,1
11346,-16.76974369374746,-41.1864874884768,4.2523456,3.8230256306252537,188.41399517973505,217462771.6001175,1
11347,-16.76974369374746,-41.136312361353404,2.6557734,3.8230256306252537,188.41399517973505,219935170.48303878,1
11348,-16.76974369374746,-41.08613723423001,4.7952514,3.8230256306252537,188.41399517973505,222415299.2076758,1
11349,-16.76974369374746,-41.035962107106606,3.1881957,3.8230256306252537,188.41399517973505,224902890.1509572,1
11350,-16.76974369374746,-40.98578697998321,4.5990686,3.8230256306252537,188.41399517973505,227397687.1518785,1
11351,-16.76974369374746,-40.93561185285981,4.795779,3.8230256306252537,188.41399517973505,229899444.94868952,1
11352,-16.76974369374746,-40.88543672573641,6.898836,3.8230256306252537,188.41399517973505,232407928.6457683,1
11353,-16.76974369374746,-40.835261598613016,3.6099265,3.8230256306252537,188.41399517973505,234922913.20864683,1
11354,-16.76974369374746,-40.78508647148962,4.6201115,3.8230256306252537,188.41399517973505,237444182.98569798,1
11355,-16.76974369374746,-40.734911344366225,3.4198568,3.8230256306252537,188.41399517973505,239971531.25507236,1
11356,-16.76974369374746,-40.68473621724282,2.884773,3.8230256306252537,188.41399517973505,242504759.79553157,1
11357,-16.76974369374746,-40.634561090119426,1.9807243,3.8230256306252537,188.41399517973505,245043678.47988734,1
11358,-16.76974369374746,-40.58438596299602,1.8893,3.8230256306252537,188.41399517973505,247588104.88982722,0
11359,-16.76974369374746,-40.53421083587263,1.6426562,3.8230256306252537,188.41399517973505,250137863.9509524,0
11360,-16.76974369374746,-40.48403570874923,2.3094032,3.8230256306252537,188.41399517973505,252692787.58693388,1
11361,-16.76974369374746,-40.43386058162584,2.431522,3.8230256306252537,188.41399517973505,255252714.3917289,1
11362,-16.76974369374746,-40.383685454502434,2.3781908,3.8230256306252537,188.41399517973505,257817489.31887224,1
11363,-16.76974369374746,-40.33351032737904,2.364219,3.8230256306252537,188.41399517973505,260386963.3868974,1
11364,-16.76974369374746,-40.283335200255635,0.0,3.8230256306252537,188.41399517973505,262960993.40000555,0
11365,-16.76974369374746,-40.23316007313224,0.0,3.8230256306252537,188.41399517973505,265539441.6831334,0
11366,-16.76974369374746,-40.182984946008844,0.0,3.8230256306252537,188.41399517973505,268122175.83063507,0
11367,-16.76974369374746,-40.13280981888545,0.0,3.8230256306252537,188.41399517973505,270709068.4678209,0
11368,-16.76974369374746,-40.082634691762046,0.0,3.8230256306252537,188.41399517973505,273299997.02464986,0
11369,-16.76974369374746,-40.03245956463865,0.0,3.8230256306252537,188.41399517973505,275894843.52090406,0
11370,-16.76974369374746,-39.982284437515254,0.0,3.8230256306252537,188.41399517973505,278493494.3622197,0
11371,-16.76974369374746,-39.93210931039185,0.0,3.8230256306252537,188.41399517973505,281095840.1463746,0
11372,-16.76974369374746,-39.881934183268456,0.0,3.8230256306252537,188.41399517973505,283701775.4792718,0
11373,-16.81997208212391,-51.020812404662784,0.0,3.8180027917876087,188.16644959046056,383723533.6378063,0
11374,-16.81997208212391,-50.97063727753939,0.0,3.8180027917876087,188.16644959046056,381027527.15089464,0
11375,-16.81997208212391,-50.920462150415986,0.0,3.8180027917876087,188.16644959046056,378332840.7007592,0
11376,-16.81997208212391,-50.87028702329259,0.0,3.8180027917876087,188.16644959046056,375639503.4725843,0
11377,-16.81997208212391,-50.820111896169195,0.0,3.8180027917876087,188.16644959046056,372947545.503023,0
11378,-16.81997208212391,-50.76993676904579,0.0,3.8180027917876087,188.16644959046056,370256997.7108891,0
11379,-16.81997208212391,-50.719761641922396,0.0,3.8180027917876087,188.16644959046056,367567891.9291584,0
11380,-16.81997208212391,-50.669586514799,0.0,3.8180027917876087,188.16644959046056,364880260.93834096,0
11381,-16.81997208212391,-50.6194113876756,0.0,3.8180027917876087,188.16644959046056,362194138.50129765,0
11382,-16.81997208212391,-50.5692362605522,0.0,3.8180027917876087,188.16644959046056,359509559.39957017,0
11383,-16.81997208212391,-50.519061133428806,0.0,3.8180027917876087,188.16644959046056,356826559.4712952,0
11384,-16.81997208212391,-50.468886006305404,0.0,3.8180027917876087,188.16644959046056,354145175.65079105,0
11385,-16.81997208212391,-50.41871087918201,0.0,3.8180027917876087,188.16644959046056,351465446.009894,0
11386,-16.81997208212391,-50.36853575205861,0.0,3.8180027917876087,188.16644959046056,348787409.80113447,0
11387,-16.81997208212391,-50.31836062493522,0.0,3.8180027917876087,188.16644959046056,346111107.50284886,0
11388,-16.81997208212391,-50.268185497811814,0.0,3.8180027917876087,188.16644959046056,343436580.86632466,0
11389,-16.81997208212391,-50.21801037068842,0.0,3.8180027917876087,188.16644959046056,340763872.96508455,0
11390,-16.81997208212391,-50.16783524356502,0.0,3.8180027917876087,188.16644959046056,338093028.2464168,0
11391,-16.81997208212391,-50.11766011644162,0.0,3.8180027917876087,188.16644959046056,335424092.58527434,0
